CGPA,skills_score,projects_count,internships_done,communication_score,aptitude_score,coding_test_score,resume_score,extracurricular,college_tier,hackathons_participated,certifications_count,linkedin_activity_score,github_score,soft_skills_score,interview_score,consistency_score,backlogs,placement_training,selected
6.87,7,0,0,4,3,2,7,Yes,Tier 2,0,7,5,9,3,1,4,4,Yes,Yes
9.75,4,4,2,3,3,6,1,Yes,Tier 2,3,2,8,8,3,9,8,5,Yes,Yes
8.66,2,1,1,2,1,4,6,Yes,Tier 2,4,1,5,2,2,1,3,2,Yes,Yes
7.99,5,4,2,8,8,10,8,No,Tier 2,1,5,5,9,2,7,10,1,Yes,Yes
5.78,3,2,2,4,9,1,7,Yes,Tier 3,4,7,3,8,7,8,6,5,Yes,Yes
5.78,9,5,1,2,5,1,5,No,Tier 3,2,9,4,8,3,7,4,4,No,No
5.29,6,3,1,9,1,2,4,Yes,Tier 1,4,7,9,1,10,2,2,5,Yes,Yes
9.33,1,2,0,8,1,4,2,Yes,Tier 3,2,5,9,2,3,6,1,2,No,No
8.01,3,5,2,5,9,8,1,No,Tier 1,0,5,3,3,6,8,9,4,No,No
8.54,4,0,1,8,1,3,1,No,Tier 1,4,5,5,8,2,8,4,4,Yes,Yes
5.1,9,0,2,5,9,5,5,Yes,Tier 3,4,4,8,4,3,8,9,0,No,Yes
9.85,6,4,1,7,3,3,9,No,Tier 1,4,3,5,1,8,9,7,3,Yes,Yes
9.16,4,2,2,5,3,8,7,No,Tier 1,3,1,7,5,8,3,1,1,Yes,Yes
6.06,1,0,0,5,4,4,2,Yes,Tier 2,0,4,10,6,10,2,10,3,No,No
5.91,8,1,2,4,5,8,6,Yes,Tier 3,4,1,3,5,3,2,5,0,Yes,No
5.92,2,1,1,5,6,8,10,Yes,Tier 2,1,8,2,2,6,3,6,3,Yes,No
6.52,8,3,3,7,6,9,7,Yes,Tier 3,0,3,2,8,8,9,8,2,No,Yes
